year,fips,state,state_po,county_name,dem_votes,candidate.x,rep_votes,candidate.y
2000,10001,DELAWARE,DE,KENT,22790,AL GORE,24081,GEORGE W. BUSH
2000,10003,DELAWARE,DE,NEW CASTLE,127539,AL GORE,78587,GEORGE W. BUSH
2000,10005,DELAWARE,DE,SUSSEX,29739,AL GORE,34620,GEORGE W. BUSH
2000,1001,ALABAMA,AL,AUTAUGA,4942,AL GORE,11993,GEORGE W. BUSH
2000,1003,ALABAMA,AL,BALDWIN,13997,AL GORE,40872,GEORGE W. BUSH
2000,1005,ALABAMA,AL,BARBOUR,5188,AL GORE,5096,GEORGE W. BUSH
2000,1007,ALABAMA,AL,BIBB,2710,AL GORE,4273,GEORGE W. BUSH
2000,1009,ALABAMA,AL,BLOUNT,4977,AL GORE,12667,GEORGE W. BUSH
2000,1011,ALABAMA,AL,BULLOCK,3395,AL GORE,1433,GEORGE W. BUSH
2000,1013,ALABAMA,AL,BUTLER,3606,AL GORE,4127,GEORGE W. BUSH
2000,1015,ALABAMA,AL,CALHOUN,15781,AL GORE,22306,GEORGE W. BUSH
2000,1017,ALABAMA,AL,CHAMBERS,5616,AL GORE,6037,GEORGE W. BUSH
2000,1019,ALABAMA,AL,CHEROKEE,3497,AL GORE,4154,GEORGE W. BUSH
2000,1021,ALABAMA,AL,CHILTON,4806,AL GORE,10066,GEORGE W. BUSH
2000,1023,ALABAMA,AL,CHOCTAW,3707,AL GORE,3600,GEORGE W. BUSH
2000,1025,ALABAMA,AL,CLARKE,4679,AL GORE,5988,GEORGE W. BUSH
2000,1027,ALABAMA,AL,CLAY,2045,AL GORE,3719,GEORGE W. BUSH
2000,1029,ALABAMA,AL,CLEBURNE,1664,AL GORE,3333,GEORGE W. BUSH
2000,1031,ALABAMA,AL,COFFEE,5220,AL GORE,9938,GEORGE W. BUSH
2000,1033,ALABAMA,AL,COLBERT,10543,AL GORE,10518,GEORGE W. BUSH
2000,1035,ALABAMA,AL,CONECUH,2783,AL GORE,2699,GEORGE W. BUSH
2000,1037,ALABAMA,AL,COOSA,2104,AL GORE,2382,GEORGE W. BUSH
2000,1039,ALABAMA,AL,COVINGTON,4440,AL GORE,8961,GEORGE W. BUSH
2000,1041,ALABAMA,AL,CRENSHAW,1934,AL GORE,2793,GEORGE W. BUSH
2000,1043,ALABAMA,AL,CULLMAN,9758,AL GORE,19157,GEORGE W. BUSH
2000,1045,ALABAMA,AL,DALE,4906,AL GORE,10593,GEORGE W. BUSH
2000,1047,ALABAMA,AL,DALLAS,10967,AL GORE,7360,GEORGE W. BUSH
2000,1049,ALABAMA,AL,DEKALB,7056,AL GORE,12827,GEORGE W. BUSH
2000,1051,ALABAMA,AL,ELMORE,6652,AL GORE,16777,GEORGE W. BUSH
2000,1053,ALABAMA,AL,ESCAMBIA,4523,AL GORE,6975,GEORGE W. BUSH
2000,1055,ALABAMA,AL,ETOWAH,17433,AL GORE,21087,GEORGE W. BUSH
2000,1057,ALABAMA,AL,FAYETTE,3064,AL GORE,4582,GEORGE W. BUSH
2000,1059,ALABAMA,AL,FRANKLIN,4793,AL GORE,6119,GEORGE W. BUSH
2000,1061,ALABAMA,AL,GENEVA,2769,AL GORE,6588,GEORGE W. BUSH
2000,1063,ALABAMA,AL,GREENE,3504,AL GORE,850,GEORGE W. BUSH
2000,1065,ALABAMA,AL,HALE,4652,AL GORE,2984,GEORGE W. BUSH
2000,1067,ALABAMA,AL,HENRY,2782,AL GORE,4054,GEORGE W. BUSH
2000,1069,ALABAMA,AL,HOUSTON,9412,AL GORE,22150,GEORGE W. BUSH
2000,1071,ALABAMA,AL,JACKSON,9066,AL GORE,8475,GEORGE W. BUSH
2000,1073,ALABAMA,AL,JEFFERSON,129889,AL GORE,138491,GEORGE W. BUSH
2000,1075,ALABAMA,AL,LAMAR,2653,AL GORE,4470,GEORGE W. BUSH
2000,1077,ALABAMA,AL,LAUDERDALE,13875,AL GORE,17478,GEORGE W. BUSH
2000,1079,ALABAMA,AL,LAWRENCE,6296,AL GORE,5671,GEORGE W. BUSH
2000,1081,ALABAMA,AL,LEE,14574,AL GORE,22433,GEORGE W. BUSH
2000,1083,ALABAMA,AL,LIMESTONE,8992,AL GORE,14204,GEORGE W. BUSH
2000,1085,ALABAMA,AL,LOWNDES,4557,AL GORE,1638,GEORGE W. BUSH
2000,1087,ALABAMA,AL,MACON,7665,AL GORE,1091,GEORGE W. BUSH
2000,1089,ALABAMA,AL,MADISON,48199,AL GORE,62151,GEORGE W. BUSH
2000,1091,ALABAMA,AL,MARENGO,4841,AL GORE,4690,GEORGE W. BUSH
2000,1093,ALABAMA,AL,MARION,4600,AL GORE,6910,GEORGE W. BUSH
2000,1095,ALABAMA,AL,MARSHALL,10381,AL GORE,17084,GEORGE W. BUSH
2000,1097,ALABAMA,AL,MOBILE,58640,AL GORE,78162,GEORGE W. BUSH
2000,1099,ALABAMA,AL,MONROE,3741,AL GORE,5153,GEORGE W. BUSH
2000,11001,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,171923,AL GORE,18073,GEORGE W. BUSH
2000,1101,ALABAMA,AL,MONTGOMERY,40371,AL GORE,38827,GEORGE W. BUSH
2000,1103,ALABAMA,AL,MORGAN,16060,AL GORE,25774,GEORGE W. BUSH
2000,1105,ALABAMA,AL,PERRY,4020,AL GORE,1732,GEORGE W. BUSH
2000,1107,ALABAMA,AL,PICKENS,4143,AL GORE,4306,GEORGE W. BUSH
2000,1109,ALABAMA,AL,PIKE,4357,AL GORE,6058,GEORGE W. BUSH
2000,1111,ALABAMA,AL,RANDOLPH,3094,AL GORE,4666,GEORGE W. BUSH
2000,1113,ALABAMA,AL,RUSSELL,8396,AL GORE,6198,GEORGE W. BUSH
2000,1115,ALABAMA,AL,ST. CLAIR,6485,AL GORE,17117,GEORGE W. BUSH
2000,1117,ALABAMA,AL,SHELBY,13183,AL GORE,47651,GEORGE W. BUSH
2000,1119,ALABAMA,AL,SUMTER,4415,AL GORE,1629,GEORGE W. BUSH
2000,1121,ALABAMA,AL,TALLADEGA,11264,AL GORE,13807,GEORGE W. BUSH
2000,1123,ALABAMA,AL,TALLAPOOSA,6183,AL GORE,9805,GEORGE W. BUSH
2000,1125,ALABAMA,AL,TUSCALOOSA,24614,AL GORE,34003,GEORGE W. BUSH
2000,1127,ALABAMA,AL,WALKER,11621,AL GORE,13486,GEORGE W. BUSH
2000,1129,ALABAMA,AL,WASHINGTON,3386,AL GORE,4117,GEORGE W. BUSH
2000,1131,ALABAMA,AL,WILCOX,3444,AL GORE,1661,GEORGE W. BUSH
2000,1133,ALABAMA,AL,WINSTON,2692,AL GORE,6413,GEORGE W. BUSH
2000,12001,FLORIDA,FL,ALACHUA,47365,AL GORE,34124,GEORGE W. BUSH
2000,12003,FLORIDA,FL,BAKER,2392,AL GORE,5610,GEORGE W. BUSH
2000,12005,FLORIDA,FL,BAY,18850,AL GORE,38637,GEORGE W. BUSH
2000,12007,FLORIDA,FL,BRADFORD,3075,AL GORE,5414,GEORGE W. BUSH
2000,12009,FLORIDA,FL,BREVARD,97318,AL GORE,115185,GEORGE W. BUSH
2000,12011,FLORIDA,FL,BROWARD,387703,AL GORE,177902,GEORGE W. BUSH
2000,12013,FLORIDA,FL,CALHOUN,2155,AL GORE,2873,GEORGE W. BUSH
2000,12015,FLORIDA,FL,CHARLOTTE,29645,AL GORE,35426,GEORGE W. BUSH
2000,12017,FLORIDA,FL,CITRUS,25525,AL GORE,29767,GEORGE W. BUSH
2000,12019,FLORIDA,FL,CLAY,14632,AL GORE,41736,GEORGE W. BUSH
2000,12021,FLORIDA,FL,COLLIER,29921,AL GORE,60450,GEORGE W. BUSH
2000,12023,FLORIDA,FL,COLUMBIA,7047,AL GORE,10964,GEORGE W. BUSH
2000,12027,FLORIDA,FL,DESOTO,3320,AL GORE,4256,GEORGE W. BUSH
2000,12029,FLORIDA,FL,DIXIE,1826,AL GORE,2697,GEORGE W. BUSH
2000,12031,FLORIDA,FL,DUVAL,107864,AL GORE,152098,GEORGE W. BUSH
